stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
600,600,Cheyenne @ Terry (E),,36.216799,-115.220869,,,,,,0
601,601,Cheyenne @ Torrey Pines (E),,36.21735,-115.233379,,,,,,0
602,602,Cheyenne @ Torrey Pines (W),,36.217747,-115.234819,,,,,,0
603,603,Cheyenne @ Trade (E),,36.217689,-115.154082,,,,,,0
604,604,Cheyenne @ Trade (W),,36.217898,-115.154983,,,,,,0
605,605,Cheyenne @ Van Der Meer (E),,36.217528,-115.106618,,,,,,0
606,606,Cheyenne @ Campus (W),,36.2178,-115.104139,,,,,,0
607,607,Cheyenne @ Crawford (W),,36.217757,-115.109598,,,,,,0
608,608,Cheyenne @ Walnut (E),,36.21759,-115.08848,,,,,,0
609,609,Cheyenne @ Walnut (W),,36.217848,-115.09012,,,,,,0
611,611,Cheyenne @ Whispering Willow (E),,36.216959,-115.228537,,,,,,0
618,618,Civic Center @ Basswood (S),,36.216603,-115.121108,,,,,,0
619,619,Civic Center @ Brooks (S),,36.213701,-115.121063,,,,,,0
620,620,Civic Center @ Brooks (N),,36.214436,-115.12081,,,,,,0
623,623,Civic Center @ Cartier (N),,36.207009,-115.120914,,,,,,0
624,624,Civic Center @ Putnam (S),,36.206097,-115.121164,,,,,,0
627,627,Civic Center @ Evans (N),,36.210899,-115.120758,,,,,,0
628,628,Civic Center @ Evans (S),,36.210036,-115.121242,,,,,,0
631,631,Civic Center @ Las Vegas (S),,36.201363,-115.119914,,,,,,0
632,632,Civic Center @ Lake Mead (N),,36.196504,-115.116351,,,,,,0
633,633,Civic Center @ Lake Mead (S),,36.194814,-115.116408,,,,,,0
635,635,Civic Center @ McDaniel (N),,36.201036,-115.119211,,,,,,0
636,636,Civic Center @ Lake Mead (S),,36.198404,-115.118513,,,,,,0
637,637,Civic Center @ Owens (N),,36.189073,-115.116019,,,,,,0
639,639,Civic Center @ Tonopah (N),,36.192527,-115.116101,,,,,,0
640,640,Civic Center @ Tonopah (S),,36.191719,-115.116354,,,,,,0
653,653,Commerce @ Duchess (S),,36.20651,-115.142938,,,,,,0
655,655,Campus @ CSN Cheyenne Campus (N),FERRET FALL AV & DUSTY VIEW ST,36.218619,-115.106982,,,,,,0
661,661,Convention Center @ Channel 8 (E),,36.132251,-115.161345,,,,,,0
667,667,Craig @ Allen (E),,36.239253,-115.188701,,,,,,0
668,668,Craig @ Bradley (E),,36.238719,-115.2161,,,,,,0
669,669,Craig @ Calimesa (E),,36.240239,-115.07182,,,,,,0
670,670,Craig @ Ferrell (E),,36.239291,-115.184171,,,,,,0
671,671,Craig @ Ivory (E),,36.238759,-115.218897,,,,,,0
672,672,Craig @ Jones (E),,36.238848,-115.224937,,,,,,0
674,674,Craig @ Lamb (E),,36.240308,-115.079038,,,,,,0
675,675,Craig @ Lamont (W),,36.240581,-115.066862,,,,,,0
676,676,Craig @ Lamont (E),,36.240324,-115.065255,,,,,,0
677,677,Craig @ Las Vegas (E),,36.240424,-115.056551,,,,,,0
679,679,Craig @ Nellis (E),,36.240357,-115.059716,,,,,,0
680,680,Craig @ Puebla (W),,36.240531,-115.071344,,,,,,0
682,682,Craig @ San Mateo (E),,36.238789,-115.202579,,,,,,0
683,683,Craig @ Thom (E),,36.23864,-115.210311,,,,,,0
684,684,Craig @ Nellis (W),,36.240618,-115.063253,,,,,,0
685,685,Craig @ Valley (E),,36.238983,-115.197507,,,,,,0
688,688,Decatur @ Alexander (N),,36.232485,-115.207321,,,,,,0
690,690,Decatur @ Alpine (N),,36.159682,-115.205705,,,,,,0
